Pattern:only F1 main effect, Type:snrsurr, Area:S1, Frequency of interest:23 
p-threshold:0.000191, bipolar ch: 32, stats:(F1 Amp,F2 Amp, interact)=(0.000003, 0.058005, 0.686160) 
p-threshold:0.000166, bipolar ch: 48, stats:(F1 Amp,F2 Amp, interact)=(0.411604, 0.000038, 0.800503) 
p-threshold:0.000166, bipolar ch: 52, stats:(F1 Amp,F2 Amp, interact)=(0.427149, 0.000000, 0.218530) 
p-threshold:0.000166, bipolar ch: 54, stats:(F1 Amp,F2 Amp, interact)=(0.092611, 0.000000, 0.508995) 
p-threshold:0.000166, bipolar ch: 60, stats:(F1 Amp,F2 Amp, interact)=(0.419185, 0.000000, 0.278915) 
p-threshold:0.000166, bipolar ch: 61, stats:(F1 Amp,F2 Amp, interact)=(0.235807, 0.000000, 0.019417) 
p-threshold:0.000166, bipolar ch: 63, stats:(F1 Amp,F2 Amp, interact)=(0.546881, 0.000000, 0.143298) 
p-threshold:0.000166, bipolar ch: 69, stats:(F1 Amp,F2 Amp, interact)=(0.673299, 0.000011, 0.067975) 
p-threshold:0.000166, bipolar ch: 71, stats:(F1 Amp,F2 Amp, interact)=(0.181684, 0.000000, 0.876958) 
p-threshold:0.000166, bipolar ch: 72, stats:(F1 Amp,F2 Amp, interact)=(0.388224, 0.000000, 0.426830) 
p-threshold:0.000166, bipolar ch: 77, stats:(F1 Amp,F2 Amp, interact)=(0.251819, 0.000000, 0.113738) 
p-threshold:0.000166, bipolar ch: 86, stats:(F1 Amp,F2 Amp, interact)=(0.355466, 0.000084, 0.114469) 
p-threshold:0.000166, bipolar ch: 87, stats:(F1 Amp,F2 Amp, interact)=(0.660335, 0.000000, 0.019072) 
p-threshold:0.000166, bipolar ch:121, stats:(F1 Amp,F2 Amp, interact)=(0.589369, 0.000000, 0.636196) 
p-threshold:0.000166, bipolar ch:122, stats:(F1 Amp,F2 Amp, interact)=(0.003258, 0.000000, 0.044181) 
p-threshold:0.000166, bipolar ch:129, stats:(F1 Amp,F2 Amp, interact)=(0.092781, 0.000000, 0.882540) 
p-threshold:0.000166, bipolar ch:130, stats:(F1 Amp,F2 Amp, interact)=(0.532001, 0.000000, 0.014644) 
p-threshold:0.000166, bipolar ch:132, stats:(F1 Amp,F2 Amp, interact)=(0.145250, 0.000000, 0.004510) 
p-threshold:0.000166, bipolar ch:137, stats:(F1 Amp,F2 Amp, interact)=(0.573975, 0.000000, 0.832727) 
p-threshold:0.000166, bipolar ch:141, stats:(F1 Amp,F2 Amp, interact)=(0.004740, 0.000000, 0.029411) 
p-threshold:0.000166, bipolar ch:143, stats:(F1 Amp,F2 Amp, interact)=(0.002199, 0.000000, 0.200946) 
p-threshold:0.000166, bipolar ch:149, stats:(F1 Amp,F2 Amp, interact)=(0.000189, 0.000000, 0.000195) 
p-threshold:0.000166, bipolar ch:150, stats:(F1 Amp,F2 Amp, interact)=(0.007960, 0.000000, 0.036836) 
p-threshold:0.000166, bipolar ch:151, stats:(F1 Amp,F2 Amp, interact)=(0.428482, 0.000000, 0.531078) 
p-threshold:0.000166, bipolar ch:159, stats:(F1 Amp,F2 Amp, interact)=(0.010906, 0.000000, 0.106908) 
p-threshold:0.000166, bipolar ch:160, stats:(F1 Amp,F2 Amp, interact)=(0.327110, 0.000000, 0.409938) 
p-threshold:0.000166, bipolar ch:168, stats:(F1 Amp,F2 Amp, interact)=(0.371524, 0.000005, 0.476713) 
p-threshold:0.000166, bipolar ch:171, stats:(F1 Amp,F2 Amp, interact)=(0.679175, 0.000000, 0.551880) 
p-threshold:0.000166, bipolar ch:177, stats:(F1 Amp,F2 Amp, interact)=(0.198146, 0.000000, 0.049898) 
p-threshold:0.000166, bipolar ch:178, stats:(F1 Amp,F2 Amp, interact)=(0.721791, 0.000000, 0.348069) 
Pattern:Only F2 main effect, Type:evkdpwr, Area:S2, Frequency of interest:23 
p-threshold:0.000166, bipolar ch: 72, stats:(F1 Amp,F2 Amp, interact)=(0.129217, 0.000000, 0.000356) 
p-threshold:0.000166, bipolar ch: 78, stats:(F1 Amp,F2 Amp, interact)=(0.010098, 0.000000, 0.000409) 
p-threshold:0.000166, bipolar ch: 79, stats:(F1 Amp,F2 Amp, interact)=(0.036862, 0.000039, 0.067639) 
p-threshold:0.000166, bipolar ch:105, stats:(F1 Amp,F2 Amp, interact)=(0.000739, 0.000052, 0.000689) 
Pattern:Only F2 main effect, Type:evkdpwr, Area:S2, Frequency of interest:200 
p-threshold:0.000166, bipolar ch:  2, stats:(F1 Amp,F2 Amp, interact)=(0.005875, 0.000020, 0.398543) 
p-threshold:0.000166, bipolar ch:  4, stats:(F1 Amp,F2 Amp, interact)=(0.610059, 0.000000, 0.336451) 
p-threshold:0.000166, bipolar ch: 12, stats:(F1 Amp,F2 Amp, interact)=(0.475939, 0.000000, 0.190298) 
p-threshold:0.000166, bipolar ch: 19, stats:(F1 Amp,F2 Amp, interact)=(0.919074, 0.000000, 0.314825) 
p-threshold:0.000166, bipolar ch: 21, stats:(F1 Amp,F2 Amp, interact)=(0.515686, 0.000005, 0.142861) 
p-threshold:0.000166, bipolar ch: 23, stats:(F1 Amp,F2 Amp, interact)=(0.105284, 0.000102, 0.399026) 
p-threshold:0.000166, bipolar ch: 24, stats:(F1 Amp,F2 Amp, interact)=(0.474194, 0.000045, 0.690952) 
p-threshold:0.000166, bipolar ch: 25, stats:(F1 Amp,F2 Amp, interact)=(0.832368, 0.000000, 0.760684) 
p-threshold:0.000166, bipolar ch: 31, stats:(F1 Amp,F2 Amp, interact)=(0.815329, 0.000012, 0.812641) 
p-threshold:0.000166, bipolar ch: 36, stats:(F1 Amp,F2 Amp, interact)=(0.521997, 0.000050, 0.686008) 
p-threshold:0.000166, bipolar ch: 44, stats:(F1 Amp,F2 Amp, interact)=(0.366220, 0.000000, 0.115843) 
p-threshold:0.000166, bipolar ch: 46, stats:(F1 Amp,F2 Amp, interact)=(0.006757, 0.000035, 0.131679) 
p-threshold:0.000166, bipolar ch: 47, stats:(F1 Amp,F2 Amp, interact)=(0.000345, 0.000000, 0.003477) 
p-threshold:0.000166, bipolar ch: 48, stats:(F1 Amp,F2 Amp, interact)=(0.030769, 0.000000, 0.042795) 
p-threshold:0.000166, bipolar ch: 49, stats:(F1 Amp,F2 Amp, interact)=(0.270818, 0.000000, 0.741045) 
p-threshold:0.000166, bipolar ch: 61, stats:(F1 Amp,F2 Amp, interact)=(0.476890, 0.000000, 0.603659) 
p-threshold:0.000166, bipolar ch: 62, stats:(F1 Amp,F2 Amp, interact)=(0.410377, 0.000000, 0.318841) 
p-threshold:0.000166, bipolar ch: 63, stats:(F1 Amp,F2 Amp, interact)=(0.001607, 0.000000, 0.162358) 
p-threshold:0.000166, bipolar ch: 69, stats:(F1 Amp,F2 Amp, interact)=(0.000332, 0.000000, 0.136809) 
p-threshold:0.000166, bipolar ch: 70, stats:(F1 Amp,F2 Amp, interact)=(0.497025, 0.000000, 0.013325) 
p-threshold:0.000166, bipolar ch: 74, stats:(F1 Amp,F2 Amp, interact)=(0.350598, 0.000000, 0.936058) 
p-threshold:0.000166, bipolar ch: 77, stats:(F1 Amp,F2 Amp, interact)=(0.169938, 0.000005, 0.326608) 
p-threshold:0.000166, bipolar ch: 82, stats:(F1 Amp,F2 Amp, interact)=(0.000670, 0.000000, 0.004852) 
p-threshold:0.000166, bipolar ch: 83, stats:(F1 Amp,F2 Amp, interact)=(0.152179, 0.000000, 0.004935) 
p-threshold:0.000166, bipolar ch: 84, stats:(F1 Amp,F2 Amp, interact)=(0.000479, 0.000000, 0.128794) 
p-threshold:0.000166, bipolar ch: 86, stats:(F1 Amp,F2 Amp, interact)=(0.586991, 0.000002, 0.519106) 
p-threshold:0.000166, bipolar ch: 87, stats:(F1 Amp,F2 Amp, interact)=(0.058268, 0.000000, 0.013570) 
p-threshold:0.000166, bipolar ch: 91, stats:(F1 Amp,F2 Amp, interact)=(0.648487, 0.000001, 0.566641) 
p-threshold:0.000166, bipolar ch: 92, stats:(F1 Amp,F2 Amp, interact)=(0.501412, 0.000000, 0.081489) 
p-threshold:0.000166, bipolar ch: 93, stats:(F1 Amp,F2 Amp, interact)=(0.658980, 0.000000, 0.441364) 
p-threshold:0.000166, bipolar ch: 99, stats:(F1 Amp,F2 Amp, interact)=(0.379672, 0.000000, 0.202161) 
p-threshold:0.000166, bipolar ch:100, stats:(F1 Amp,F2 Amp, interact)=(0.082927, 0.000000, 0.312261) 
p-threshold:0.000166, bipolar ch:104, stats:(F1 Amp,F2 Amp, interact)=(0.110602, 0.000000, 0.003979) 
